Credit Union,NCUA #,Year Chartered,Employees,Return on Assets - YTD,Return on Equity - YTD,Annual Interest Income,Assets Q1-2025,Assets Q1-2024,Loans Q1 - 2025,Loans Q1 - 2024,Deposits Q1 - 2025,Deposits Q1-2024,Equity Capital Q1-2025,Equity Capital Q1-2024,Loan Loss Allowance Q1-2025,Loan Loss Allowance Q1-2024,Unbacked Non-Current Loans Q1 2025,Unbacked Non-Current Loans Q1 2024,Real Estate Owned Q1 2025,Real Estate Owned Q1 2024,Assets per Employee,Loan to Share Ratio,Loan to Asset Ratio,Capital Adequacy Ratio,Asset Growth,Loan Growth,Delinquency Ratio,Provision for Loan Loss Ratio
Oregon Community Credit Union (OCCU),65856,1981,589,0.99%,9.87%,$55.2MM,$3.53B,$3.37B,$3.16B,$2.99B,$2.93B,$2.76B,$348.1MM,$323MM,$49.7MM,$43.3MM,$61.2MM,$39.4MM,$0.00,$0.00,"$5,993,208.83",107.8498294,89.5184136,9.861189802,4.747774481,5.685618729,1.936708861,1.57278481
Oregon State Credit Union,68656,1954,308,1.03%,11.13%,$31.9MM,$2.64B,$2.26B,$1.63B,$1.48B,$2.12B,$2.02B,$241.8MM,$198.6MM,$18.5MM,$19.6MM,$7.8MM,$10MM,$0.00,$0.00,"$8,571,428.57",76.88679245,61.74242424,9.159090909,16.81415929,10.13513514,0.478527607,1.134969325
Oregonians Credit Union,68669,1937,71,2.26%,14.65%,$4.1MM,$341.8MM,$349.6MM,$211.7MM,$230.7MM,$286.4MM,$298.5MM,$52.7MM,$48.8MM,$1.1MM,$1.2MM,$1.7MM,$1.7MM,$0.00,$0.00,"$4,814,084.51",73.91759777,61.93680515,15.41837332,-2.231121281,-8.235804075,0.803023146,0.5196032121
Pacific NW Federal Credit Union,4878,1942,58,0.26%,2.74%,$3.2MM,$307.5MM,$313.7MM,$200.6MM,$197.5MM,$273.8MM,$270.4MM,$28.7MM,$27.7MM,$1.3MM,$1.3MM,$1.2MM,$1.5MM,$0.00,$0.00,"$5,301,724.14",73.26515705,65.23577236,9.333333333,-1.976410583,1.569620253,0.598205384,0.6480558325
Peninsula Community Federal Credit Union,665,1935,68,0.51%,5.81%,$3.6MM,$297MM,$296.4MM,$194MM,$188.4MM,$263.7MM,$268.1MM,$26MM,$22.2MM,$2.2MM,$2MM,$1.6MM,$1.8MM,$0.00,$0.00,"$4,367,647.06",73.568449,65.31986532,8.754208754,0.2024291498,2.972399151,0.824742268,1.134020619
Point West Credit Union,63971,1934,28,0.2%,1.89%,$1.4MM,$112MM,$108.7MM,$75.4MM,$84MM,$97.3MM,$93.8MM,$11.8MM,$10.9MM,$327K,$610K,$721K,$436K,$0.00,$0.00,"$4,000,000.00",77.49229188,67.32142857,10.53571429,3.035878565,-10.23809524,0.956233422,0.4336870027
Puget Sound Cooperative CU,68204,1936,30,0.27%,3.46%,$3.3MM,$266.4MM,$259.8MM,$227.2MM,$241MM,$234.6MM,$228.9MM,$20.8MM,$20MM,$71K,$67K,$611K,$489K,$0.00,$0.00,"$8,880,000.00",96.8456948,85.28528529,7.807807808,2.540415704,-5.726141079,0.268926056,0.03125
Qualstar Credit Union,68223,1952,120,0.86%,5.46%,$12.7MM,$873MM,$1B,$526.6MM,$500.4MM,$724.3MM,$671MM,$134.9MM,$115.2MM,$13.18MM,$12.7MM,$9.5MM,$8.2MM,$0.00,$0.00,"$7,275,000.00",72.70468038,60.3207331,15.45246277,-12.7,5.235811351,1.804025826,2.502848462
Red Canoe Credit Union,68196,1937,238,0.79%,6.81%,$13.9MM,$1.16B,$1.17B,$893.5MM,$843.1MM,$1.01B,$1.01B,$134.3MM,$120.7MM,$5.9MM,$5.4MM,$2.4MM,$3.2MM,"$170,000.00","$47,000.00","$4,873,949.58",88.46534653,77.02586207,11.57758621,-0.8547008547,5.97793856,0.268606603,0.6603245663
Rivermark Community Credit Union,65644,1951,587,-0.68%,-7.33%,$47.2MM,$3.28B,$1.62B,$2.14B,$847MM,$2.94B,$1.32B,$306.4MM,$80.8MM,$35.7MM,$7.5MM,$37.1MM,$18.1MM,"$314,000.00",$0.00,"$5,587,734.24",72.78911565,65.24390244,9.341463415,102.4691358,152.6564345,1.733644860,1.668224299
Rogue Credit Union,68660,1956,611,0.95%,11.7%,$50.4MM,$3.72B,$3.48B,$2.15B,$1.97B,$3.19B,$3.02B,$297.6MM,$244.4MM,$31.8MM,$29.2MM,$16.6MM,$11MM,"$649,000.00","$482,000.00","$6,088,379.71",67.39811912,57.79569892,8,6.896551724,9.137055838,0.772093023,1.479069767
Salal Credit Union,66349,1948,234,-0.07%,-0.9%,$14.7MM,$1.18B,$1.21B,$921.9MM,$938.7MM,$1.05B,$1.07B,$92.3MM,$89.8MM,$8.7MM,$8.9MM,$3.8MM,$1.7MM,$0.00,$0.00,"$5,042,735.04",87.8,78.12711864,7.822033898,-2.479338843,-1.789709172,0.412192212,0.9437032216
Seattle Credit Union,68315,1933,171,0.28%,4.03%,$15MM,$1.11B,$1.1B,$922.2MM,$866.3MM,$886.8MM,$886.5MM,$77.4MM,$70MM,$11.2MM,$14.5MM,$6MM,$7.5MM,$0.00,$0.00,"$6,491,228.07",103.9918809,83.08108108,6.972972973,0.9090909091,6.452730001,0.650618087,1.214487096
SELCO Community Credit Union,63196,1936,432,0.65%,6.26%,$32.2MM,$2.83B,$2.77B,$1.91B,$1.89B,$2.51B,$2.49B,$291.1MM,$256MM,$17.4MM,$16.3MM,$12.6MM,$10.1MM,"$141,000.00","$214,000.00","$6,550,925.93",76.09561753,67.49116608,10.28621908,2.166064982,1.058201058,0.659685864,0.9109947644
Sound Credit Union,66331,1940,419,0.43%,4.43%,$38.7MM,$3.16B,$2.98B,$2.52B,$2.23B,$2.72B,$2.52B,$309.3MM,$291.4MM,$21.7MM,$18.1MM,$25.6MM,$11.1MM,$0.00,$0.00,"$7,541,766.11",92.64705882,79.74683544,9.787974684,6.040268456,13.0044843,1.015873016,0.8611111111
Spokane Teachers Credit Union (STCU),68203,1934,922,0.37%,4.23%,$75.7MM,$5.92B,$5.86B,$4.95B,$4.81B,$4.87B,$4.67B,$508.5MM,$488.5MM,$53MM,$38.9MM,$15.9MM,$13.8MM,$0.00,$0.00,"$6,420,824.30",101.6427105,83.61486486,8.589527027,1.023890785,2.910602911,0.321212121,1.070707071
TwinStar Credit Union,68271,1938,837,0.37%,3.76%,$63.5MM,$4.31B,$4.32B,$3.38B,$3.24B,$3.68B,$3.58B,$424.8MM,$390.2MM,$35.1MM,$30.1MM,$19.2MM,$15.4MM,"$689,000.00",$0.00,"$5,149,342.89",91.84782609,78.42227378,9.856148492,-0.2314814815,4.320987654,0.568047337,1.038461538
Unitus Community Credit Union,63440,1937,300,0.13%,1.36%,$18.8MM,$1.74B,$1.75B,$1.34B,$1.29B,$1.54B,$1.53B,$167.1MM,$158.6MM,$16.2MM,$15.5MM,$4.9MM,$4.8MM,$0.00,"$321,000.00","$5,800,000.00",87.01298701,77.01149425,9.603448276,-0.5714285714,3.875968992,0.365671642,1.208955224
Verity Credit Union,68517,1933,135,-1.12%,-12.46%,$8.7MM,$773.5MM,$809.2MM,$601.9MM,$696.1MM,$674.2MM,$654.1MM,$69.4MM,$76.4MM,$6.7MM,$6.2MM,$6.9MM,$5.1MM,$0.00,$0.00,"$5,729,629.63",89.27617918,77.81512605,8.972204266,-4.411764706,-13.53253843,1.146369829,1.113141718
Waterfront Federal Credit Union,16178,1964,14,1.16%,10.82%,$1.1MM,$91.1MM,$94.9MM,$52.9MM,$53.8MM,$80.7MM,$80.5MM,$9.8MM,$8.1MM,$183K,$188K,$267K,$257K,$0.00,$0.00,"$6,507,142.86",65.55142503,58.06805708,10.75740944,-4.004214963,-1.672862454,0.504725898,0.3459357278
Wauna Federal Credit Union,17990,1967,114,1.03%,16.78%,$5.4MM,$419.7MM,$425.8MM,$310MM,$317.6MM,$358MM,$367.5MM,$26.1MM,$23.5MM,$2.8MM,$2.1MM,$2MM,$2.8MM,"$125,000.00",$0.00,"$3,681,578.95",86.59217877,73.86228258,6.218727663,-1.432597464,-2.392947103,0.645161290,0.9032258065
Whatcom Educational CU (WECU),66373,1936,404,0.38%,3.16%,$36.8MM,$3B,$2.84B,$2.46B,$2.13B,$2.45B,$2.3B,$354.4MM,$339.2MM,$19.2MM,$14.2MM,$15.7MM,$6.2MM,$0.00,$0.00,"$7,425,742.57",100.4081633,82,11.81333333,5.633802817,15.49295775,0.638211382,0.7804878049
WSECU,60042,1957,789,0.23%,2.87%,$68.7MM,$5.2B,$5.44B,$4.11B,$4.27B,$4.48B,$4.39B,$407MM,$382.8MM,$61.3MM,$48.1MM,$15.9MM,$19.9MM,$0.00,$0.00,"$6,590,621.04",91.74107143,79.03846154,7.826923077,-4.411764706,-3.7470726,0.386861314,1.491484185
